dbn,district,school_dist,school_name,building_id,swd,ell,poverty,location_category_description,grades_text,longitude,latitude,borough_code,counts,opend_year
18K617,18,18,High School for Innovation in Advertising and Media,K500,0.236,0.053,0.779,High school,"09,10,11,12,SE",-73.898601,40.640543,K,4,2008
18K629,18,18,Cultural Academy for the Arts and Sciences,K415,0.215,0.084,0.781,High school,"09,10,11,12,SE",-73.922212,40.647728,K,3,2008
18K633,18,18,High School for Medical Professions,K500,0.145,0.053,0.85,High school,"09,10,11,12,SE",-73.898601,40.640543,K,4,2008
18K635,18,19,Olympus Academy,K242,0.251,0.021,0.832,High school,"09,10,11,12",-73.898607,40.645965,K,1,2008
18K637,18,18,Academy for Conservation and the Environment,K515,0.19,0.105,0.791,High school,"09,10,11,12,SE",-73.916927,40.634451,K,5,2008
18K642,18,18,Urban Action Academy,K500,0.191,0.191,0.914,High school,"09,10,11,12,SE",-73.898601,40.640543,K,4,2008
18K763,18,18,Brooklyn Science and Engineering Academy,K244,0.198,0.02,0.737,Junior High-Intermediate-Middle,"06,07,08,SE",-73.925592,40.647851,K,2,2014
19K013,19,19,P.S. 013 Roberto Clemente,K013,0.242,0.089,0.926,Elementary,"PK,0K,01,02,03,04,05,SE",-73.893328,40.664067,K,2,1975
19K065,19,19,P.S. 065,K798,0.117,0.223,0.838,Elementary,"PK,0K,01,02,03,04,05,SE",-73.878353,40.686534,K,1,1873
19K171,19,19,I.S. 171 Abraham Lincoln,K171,0.179,0.294,0.93,Junior High-Intermediate-Middle,"06,07,08,SE",-73.869434,40.685852,K,2,1912
19K190,19,19,P.S. 190 Sheffield,K190,0.174,0.058,0.942,Elementary,"PK,0K,01,02,03,04,05,SE",-73.894877,40.662243,K,2,1924
19K202,19,19,P.S. 202 Ernest S. Jenkyns,K202,0.25,0.108,0.932,Elementary,"PK,0K,01,02,03,04,05,SE",-73.876084,40.665817,K,2,1925
19K213,19,19,P.S. 213 New Lots,K213,0.178,0.085,0.9,Elementary,"PK,0K,01,02,03,04,05,SE",-73.889968,40.659845,K,1,1939
19K218,19,19,J.H.S. 218 James P. Sinnott,K218,0.272,0.254,0.937,Junior High-Intermediate-Middle,"06,07,08,SE",-73.874537,40.67002,K,2,1964
19K273,19,19,P.S. 273 Wortman,K273,0.225,0.03,0.827,Elementary,"PK,0K,01,02,03,04,05,SE",-73.879276,40.6585,K,1,1952
19K292,19,19,J.H.S. 292 Margaret S. Douglas,K292,0.249,0.118,0.951,Junior High-Intermediate-Middle,"06,07,08,SE",-73.893319,40.671601,K,2,1967
19K306,19,19,P.S. 306 Ethan Allen,K306,0.242,0.013,0.916,Elementary,"PK,0K,01,02,03,04,05,SE",-73.88662,40.65534,K,1,1965
19K328,19,19,P.S. 328 Phyllis Wheatley,K328,0.223,0.107,0.99,Elementary,"PK,0K,01,02,03,04,05,SE",-73.898249,40.667985,K,2,1967
19K346,19,19,P.S. 346 Abe Stark,K346,0.246,0.009,0.848,Elementary,"PK,0K,01,02,03,04,05,SE",-73.881997,40.64664,K,2,1977
19K404,19,19,Academy for Young Writers,K422,0.247,0.03,0.858,Secondary School,"06,07,08,09,10,11,12,SE",-73.874064,40.657266,K,2,2006
19K409,19,19,East New York Family Academy,K660,0.223,0.031,0.845,Secondary School,"06,07,08,09,10,11,12,SE",-73.895976,40.673766,K,2,1999
19K422,19,19,Spring Creek Community School,K422,0.238,0.025,0.853,Secondary School,"06,07,08,09,10,11,12,SE",-73.874064,40.657266,K,2,2012
19K452,19,19,Frederick Douglass Academy VIII Middle School,K346,0.186,0.023,0.948,Junior High-Intermediate-Middle,"06,07,08,SE",-73.881997,40.64664,K,2,2006
19K502,19,19,FDNY - Captain Vernon A. Richard High School for Fire and Life Safety,K435,0.323,0.03,0.836,High school,"09,10,11,12,SE",-73.895122,40.666868,K,4,2004
19K504,19,19,High School for Civil Rights,K435,0.305,0.15,0.807,High school,"08,09,10,11,12,SE",-73.895122,40.666868,K,4,2004
19K507,19,19,Performing Arts and Technology High School,K435,0.232,0.174,0.879,High school,"09,10,11,12,SE",-73.895122,40.666868,K,4,2004
19K510,19,19,World Academy for Total Community Health High School,K435,0.216,0.146,0.93,High school,"09,10,11,12,SE",-73.895122,40.666868,K,4,2004
19K557,19,19,Brooklyn Gardens Elementary School,K174,0.256,0.058,0.919,Elementary,"PK,0K,01,02,03,04,05,SE",-73.897604,40.665446,K,2,2013
19K583,19,19,Multicultural High School,K420,0.007,0.86,0.896,High school,"09,10,11,12",-73.869305,40.693002,K,5,2007
19K618,19,19,Academy of Innovative Technology,K420,0.227,0.092,0.84,High school,"09,10,11,12,SE",-73.869305,40.693002,K,5,2008
19K639,19,19,Brooklyn Lab School,K420,0.197,0.291,0.863,High school,"09,10,11,12,SE",-73.869305,40.693002,K,5,2008
19K654,19,19,Van Siclen Community Middle School,K166,0.355,0.086,0.959,Junior High-Intermediate-Middle,"06,07,08,SE",-73.885704,40.659934,K,3,2013
