dbn,district,school_dist,school_name,building_id,swd,ell,poverty,location_category_description,grades_text,longitude,latitude,borough_code,counts,opend_year
01M015,1,1,P.S. 015 Roberto Clemente,M015,0.232,0.089,0.816,Elementary,"PK,0K,01,02,03,04,05,SE",-73.978747,40.722075,M,2,1904
01M063,1,1,The STAR Academy - P.S.63,M063,0.301,0.022,0.773,Elementary,"PK,0K,01,02,03,04,05,SE",-73.986214,40.72444,M,2,1905
01M064,1,1,P.S. 064 Robert Simon,M064,0.267,0.017,0.907,Elementary,"PK,0K,01,02,03,04,05,SE",-73.981597,40.72313,M,3,1954
01M142,1,1,P.S. 142 Amalia Castro,M142,0.331,0.067,0.964,Elementary,"PK,0K,01,02,03,04,05,SE",-73.984116,40.718121,M,2,1976
01M188,1,1,P.S. 188 The Island School,M188,0.339,0.098,0.955,K-8,"PK,0K,01,02,03,04,05,06,07,08,SE",-73.97738,40.719888,M,1,1904
01M292,1,1,Orchard Collegiate Academy,M056,0.288,0.093,0.832,High school,"09,10,11,12,SE",-73.986051,40.713362,M,3,2004
01M315,1,1,The East Village Community School,M061,0.173,0.009,0.282,Elementary,"PK,0K,01,02,03,04,05,SE",-73.978254,40.727537,M,2,1999
01M332,1,1,University Neighborhood Middle School,M056,0.413,0.05,0.83,Junior High-Intermediate-Middle,"06,07,08,SE",-73.986051,40.713362,M,3,2004
01M361,1,1,The Children's Workshop School,M061,0.247,0.039,0.47,Elementary,"PK,0K,01,02,03,04,05,06,SE",-73.978254,40.727537,M,2,1999
01M363,1,1,Neighborhood School,M063,0.219,0.013,0.408,Elementary,"PK,0K,01,02,03,04,05,SE",-73.986214,40.72444,M,2,1999
01M364,1,1,Earth School,M064,0.279,0.035,0.57,Elementary,"PK,0K,01,02,03,04,05,SE",-73.981597,40.72313,M,3,1999
01M378,1,1,School for Global Leaders,M025,0.407,0.083,0.843,Junior High-Intermediate-Middle,"06,07,08,SE",-73.986038,40.72004,M,3,2008
01M450,1,1,East Side Community School,M060,0.266,0.015,0.654,Secondary School,"06,07,08,09,10,11,12,SE",-73.982472,40.729152,M,2,1996
01M458,1,1,Forsyth Satellite Academy,M510,0.359,0.072,0.873,High school,"09,10,11,12,SE",-73.990468,40.722415,M,2,2010
01M509,1,1,Marta Valle High School,M025,0.258,0.093,0.887,High school,"09,10,11,12,SE",-73.986038,40.72004,M,3,1996
01M515,1,1,Lower East Side Preparatory High School,M025,0.102,0.704,0.748,High school,"09,10,11,12",-73.986038,40.72004,M,3,1996
01M650,1,1,Cascades High School,M510,0.345,0.042,0.893,High school,"09,10,11,12",-73.990468,40.722415,M,2,1998
01M839,1,1,Tompkins Square Middle School,M064,0.274,0.017,0.642,Junior High-Intermediate-Middle,"06,07,08,SE",-73.981597,40.72313,M,3,2001
02M033,2,2,P.S. 033 Chelsea Prep,M033,0.15,0.074,0.469,Elementary,"PK,0K,01,02,03,04,05,06,SE",-74.000238,40.749014,M,1,1951
02M040,2,2,P.S. 040 Augustus Saint-Gaudens,M040,0.141,0.026,0.093,Elementary,"PK,0K,01,02,03,04,05,SE",-73.981536,40.735328,M,2,1899
02M047,2,2,47 The American Sign Language and English Secondary School,M047,0.254,0.047,0.819,High school,"09,10,11,12,SE",-73.981329,40.738374,M,3,1908
02M051,2,2,P.S. 051 Elias Howe,M338,0.195,0.074,0.557,Elementary,"PK,0K,01,02,03,04,05,SE",-73.995825,40.761487,M,1,1905
02M059,2,2,P.S. 059 Beekman Hill International,M488,0.138,0.063,0.083,Elementary,"PK,0K,01,02,03,04,05,SE",-73.967204,40.759248,M,2,1960
02M077,2,2,P.S. 77 Lower Lab School,M198,0.066,0.006,0.108,Elementary,"0K,01,02,03,04,05",-73.95042,40.785018,M,2,1999
02M089,2,2,P.S. 89,M089,0.145,0.075,0.059,Elementary,"PK,0K,01,02,03,04,05,06,SE",-74.013967,40.71701,M,2,1998
02M111,2,2,P.S. 111 Adolph S. Ochs,M111,0.244,0.107,0.543,Elementary,"PK,0K,01,02,03,04,05,SE",-73.989776,40.76588,M,2,1958
02M114,2,2,East Side Middle School,M114,0.166,0.002,0.133,Junior High-Intermediate-Middle,"06,07,08,SE",-73.947379,40.780452,M,1,1999
02M131,2,2,M.S. 131,M131,0.237,0.23,0.885,Junior High-Intermediate-Middle,"06,07,08,SE",-73.993607,40.716231,M,3,1983
02M135,2,2,The Urban Assembly School for Emergency Management,M520,0.215,0.043,0.797,High school,"09,10,11,12,SE",-74.000851,40.711441,M,4,2013
02M139,2,2,Stephen T. Mather Building Arts & Craftsmanship High School,M625,0.257,0.058,0.81,High school,"09,10,11,12,SE",-73.990318,40.763655,M,4,2013
02M158,2,2,P.S. 158 Bayard Taylor,M158,0.149,0.044,0.098,Elementary,"PK,0K,01,02,03,04,05,06,SE",-73.950745,40.770215,M,2,1898
02M177,2,2,Yorkville East Middle School,M158,0.273,0.018,0.242,Junior High-Intermediate-Middle,"06,07,08,SE",-73.950745,40.770215,M,2,2014
02M198,2,2,P.S. 198 Isador E. Ida Straus,M198,0.204,0.059,0.346,Elementary,"PK,0K,01,02,03,04,05,SE",-73.95042,40.785018,M,2,1960
02M212,2,2,P.S. 212 Midtown West,M017,0.114,0.032,0.205,Elementary,"PK,0K,01,02,03,04,05",-73.988665,40.761327,M,2,1999
02M225,2,2,Ella Baker School,M480,0.199,0.012,0.31,K-8,"PK,0K,01,02,03,04,05,06,07,08,SE",-73.959777,40.765638,M,5,1999
02M255,2,2,M.S. 255 Salk School of Science,M040,0.151,0.003,0.117,Junior High-Intermediate-Middle,"06,07,08,SE",-73.981536,40.735328,M,2,2000
02M276,2,2,Battery Park City School,M276,0.162,0.035,0.157,K-8,"PK,0K,01,02,03,04,05,06,07,08,SE",-74.017456,40.706384,M,1,2009
02M280,2,2,Manhattan Early College School for Advertising,M520,0.169,0.047,0.742,High school,"09,10,11,12,SE",-74.000851,40.711441,M,4,2014
02M281,2,2,The River School,M281,0.152,0.145,0.227,Elementary,"PK,0K,01,02,03,04,05,SE",-73.972592,40.744288,M,2,2013
02M282,2,2,Urban Assembly Maker Academy,M520,0.211,0.051,0.745,High school,"09,10,11,12,SE",-74.000851,40.711441,M,4,2014
02M288,2,2,Food and Finance High School,M535,0.216,0.037,0.852,High school,"09,10,11,12,SE",-73.9927,40.765474,M,5,2004
02M289,2,2,I.S. 289,M089,0.214,0.033,0.478,Junior High-Intermediate-Middle,"06,07,08,SE",-74.013967,40.71701,M,2,1998
02M294,2,2,Essex Street Academy,M445,0.254,0.033,0.66,High school,"09,10,11,12,SE",-73.989329,40.717329,M,5,2004
02M296,2,2,High School of Hospitality Management,M535,0.258,0.089,0.896,High school,"09,10,11,12,SE",-73.9927,40.765474,M,5,2004
02M297,2,2,M.S. 297,M323,0.219,0.03,0.31,Junior High-Intermediate-Middle,"06,07,08,SE",-74.007192,40.731006,M,2,2017
02M298,2,2,Pace High School,M131,0.197,0.031,0.791,High school,"09,10,11,12,SE",-73.993607,40.716231,M,3,2004
02M300,2,2,"Urban Assembly School of Design and Construction, The",M535,0.289,0.076,0.81,High school,"09,10,11,12,SE",-73.9927,40.765474,M,5,2004
02M303,2,2,"Facing History School, The",M535,0.251,0.1,0.823,High school,"09,10,11,12,SE",-73.9927,40.765474,M,5,2005
02M305,2,2,"Urban Assembly Academy of Government and Law, The",M445,0.217,0.034,0.866,High school,"09,10,11,12",-73.989329,40.717329,M,5,2005
02M308,2,2,Lower Manhattan Arts Academy,M445,0.347,0.057,0.787,High school,"09,10,11,12,SE",-73.989329,40.717329,M,5,2005
02M312,2,2,New York City Lab Middle School for Collaborative Studies,M070,0.128,0.008,0.34,Junior High-Intermediate-Middle,"06,07,08,SE",-74.002222,40.742512,M,3,1999
02M313,2,2,"James Baldwin School, The: A School for Expeditionary Learning",M440,0.355,0.073,0.791,High school,"09,10,11,12,SE",-74.00254,40.743407,M,6,2005
02M316,2,2,"Urban Assembly School of Business for Young Women, the",M282,0.14,0.09,0.865,High school,"09,10,11,12,SE",-74.013303,40.705688,M,3,2005
02M340,2,2,Sixth Avenue Elementary School,M340,0.15,0,0.112,Elementary,"PK,0K,01,02,03,04,05,SE",-73.995534,40.739145,M,1,2014
02M343,2,2,The Peck Slip School,M343,0.183,0.017,0.151,Elementary,"PK,0K,01,02,03,04,05,SE",-74.002407,40.708774,M,1,2012
02M347,2,2,The 47 American Sign Language & English Lower School,M047,0.519,0.155,0.641,K-8,"PK,0K,01,02,03,04,05,06,07,08,SE",-73.981329,40.738374,M,3,2005
02M374,2,2,Gramercy Arts High School,M460,0.183,0.018,0.826,High school,"09,10,11,12,SE",-73.987064,40.735361,M,6,2008
02M376,2,2,NYC iSchool,M615,0.198,0.011,0.398,High school,"09,10,11,12,SE",-74.005058,40.72463,M,2,2008
02M391,2,2,District 2 Pre-K Center,M281,0.14,0,0.133,,,,,M,2,
02M391,2,2,District 2 Pre-K Center, M340,0.14,0,0.133,,,,,M,2,
02M391,2,2,District 2 Pre-K Center, M343,0.14,0,0.133,,,,,M,1,
02M391,2,2,District 2 Pre-K Center, M391,0.14,0,0.133,,,,,M,1,
02M391,2,2,District 2 Pre-K Center, M453,0.14,0,0.133,,,,,M,1,
02M391,2,2,District 2 Pre-K Center, M474,0.14,0,0.133,,,,,M,1,
02M391,2,2,District 2 Pre-K Center, M491,0.14,0,0.133,,,,,M,1,
02M391,2,2,District 2 Pre-K Center, M860,0.14,0,0.133,,,,,M,1,
02M391,2,2,District 2 Pre-K Center, M444,0.14,0,0.133,,,,,M,1,
02M391,2,2,District 2 Pre-K Center, M471,0.14,0,0.133,,,,,M,1,
02M392,2,2,Manhattan Business Academy,M440,0.202,0.062,0.872,High school,"09,10,11,12,SE",-74.00254,40.743407,M,6,2009
02M393,2,2,Business Of Sports School,M625,0.257,0.068,0.75,High school,"09,10,11,12,SE",-73.990318,40.763655,M,4,2009
02M394,2,2,Emma Lazarus High School,M131,0,0.85,0.925,High school,"09,10,11,12",-73.993607,40.716231,M,3,2009
02M397,2,2,Spruce Street School,M971,0.217,0.027,0.18,K-8,"PK,0K,01,02,03,04,05,06,07,08,SE",-74.005473,40.711321,M,1,2009
02M399,2,2,The High School For Language And Diplomacy,M460,0.186,0.106,0.814,High school,"09,10,11,12,SE",-73.987064,40.735361,M,6,2009
02M400,2,2,High School for Environmental Studies,M834,0.181,0.071,0.791,High school,"09,10,11,12,SE",-73.98861,40.767848,M,2,1996
02M407,2,2,Institute for Collaborative Education,M475,0.194,0,0.321,Secondary School,"06,07,08,09,10,11,12",-73.98259,40.732665,M,2,1996
02M408,2,2,Professional Performing Arts High School,M017,0.161,0.003,0.302,Secondary School,"06,07,08,09,10,11,12,SE",-73.988665,40.761327,M,2,1996
02M412,2,2,N.Y.C. Lab School for Collaborative Studies,M070,0.191,0.004,0.249,High school,"09,10,11,12,SE",-74.002222,40.742512,M,3,1999
02M414,2,2,N.Y.C. Museum School,M070,0.229,0.002,0.513,High school,"09,10,11,12,SE",-74.002222,40.742512,M,3,1999
02M419,2,2,Landmark High School,M440,0.212,0.06,0.857,High school,"09,10,11,12,SE",-74.00254,40.743407,M,6,1996
02M420,2,2,High School for Health Professions and Human Services,M475,0.136,0.043,0.768,High school,"09,10,11,12,SE",-73.98259,40.732665,M,2,1996
02M422,2,2,Quest to Learn,M440,0.281,0.033,0.707,Secondary School,"06,07,08,09,10,11,12,SE",-74.00254,40.743407,M,6,2009
02M427,2,2,Manhattan Academy For Arts & Language,M620,0.1,0.652,0.995,High school,"09,10,11,12,SE",-73.98107,40.74651,M,3,2010
02M432,2,2,Murray Hill Academy,M620,0.262,0.019,0.871,High school,"09,10,11,12,SE",-73.98107,40.74651,M,3,2010
02M437,2,2,Hudson High School of Learning Technologies,M440,0.271,0.09,0.819,High school,"09,10,11,12,SE",-74.00254,40.743407,M,6,2010
02M438,2,2,International High School at Union Square,M460,0.04,0.778,0.866,High school,"09,10,11,12",-73.987064,40.735361,M,6,2010
02M449,2,2,Vanguard High School,M480,0.245,0.024,0.755,High school,"09,10,11,12,SE",-73.959777,40.765638,M,5,1999
02M459,2,2,Manhattan International High School,M480,0.02,0.714,0.694,High school,"09,10,11,12",-73.959777,40.765638,M,5,1996
02M475,2,2,Stuyvesant High School,M477,0.005,0,0.449,High school,"09,10,11,12",-74.013921,40.718025,M,1,1996
02M500,2,2,Unity Center for Urban Technologies,M620,0.202,0.06,0.914,High school,"09,10,11,12,SE",-73.98107,40.74651,M,3,1996
02M507,2,2,Urban Assembly Gateway School for Technology,M625,0.23,0.038,0.603,High school,"09,10,11,12,SE",-73.990318,40.763655,M,4,2011
02M519,2,2,Talent Unlimited High School,M480,0.148,0.008,0.57,High school,"09,10,11,12,SE",-73.959777,40.765638,M,5,1996
02M520,2,2,Murry Bergtraum High School for Business Careers,M520,0.096,0.026,0.825,High school,"09,10,11,12,SE",-74.000851,40.711441,M,4,1975
02M533,2,2,Union Square Academy for Health Sciences,M460,0.173,0.062,0.871,High school,"09,10,11,12,SE",-73.987064,40.735361,M,6,2012
02M542,2,2,Manhattan Bridges High School,M535,0.054,0.363,0.852,High school,"09,10,11,12,SE",-73.9927,40.765474,M,5,2003
02M543,2,2,New Design High School,M445,0.286,0.04,0.778,High school,"09,10,11,12,SE",-73.989329,40.717329,M,5,2003
02M544,2,2,Independence High School,M834,0.284,0.091,0.874,High school,"09,10,11,12",-73.98861,40.767848,M,2,2003
02M545,2,2,High School for Dual Language and Asian Studies,M445,0.03,0.146,0.856,High school,"09,10,11,12,SE",-73.989329,40.717329,M,5,2003
02M546,2,2,Academy for Software Engineering,M460,0.256,0.049,0.687,High school,"09,10,11,12,SE",-73.987064,40.735361,M,6,2012
02M560,2,2,High School M560 - City As School,M641,0.277,0.043,0.682,High school,"10,11,12",-74.006155,40.729052,M,1,1999
02M565,2,2,Urban Academy Laboratory High School,M480,0.204,0.007,0.62,High school,"09,10,11,12",-73.959777,40.765638,M,5,1999
02M580,2,2,Richard R. Green High School of Teaching,M282,0.205,0.043,0.795,High school,"09,10,11,12,SE",-74.013303,40.705688,M,3,1996
02M586,2,2,Harvey Milk High School,M807,0.361,0.033,0.77,High school,"09,10,11,12,SE",-73.992343,40.729661,M,1,2003
02M605,2,2,Humanities Preparatory Academy,M440,0.188,0.042,0.812,High school,"09,10,11,12,SE",-74.00254,40.743407,M,6,1997
02M615,2,2,Chelsea Career and Technical Education High School,M615,0.232,0.049,0.846,High school,"09,10,11,12,SE",-74.005058,40.72463,M,2,1905
02M630,2,2,Art and Design High School,M488,0.22,0.008,0.555,High school,"09,10,11,12,SE",-73.967204,40.759248,M,2,1960
02M655,2,2,Life Sciences Secondary School,M645,0.211,0.099,0.82,Secondary School,"09,10,11,12,SE",-73.945933,40.783286,M,2,1999
02M896,2,2,Lower Manhattan Community Middle School,M282,0.299,0.045,0.481,Junior High-Intermediate-Middle,"06,07,08,SE",-74.013303,40.705688,M,3,1999
02M933,2,2,City Knoll Middle School,M111,0.305,0.143,0.779,Junior High-Intermediate-Middle,"06,07,08,SE",-73.989776,40.76588,M,2,2014
03M009,3,3,P.S. 009 Sarah Anderson,M009,0.189,0.03,0.176,Elementary,"PK,0K,01,02,03,04,05,SE",-73.974256,40.785234,M,2,1965
03M075,3,3,P.S. 075 Emily Dickinson,M075,0.425,0.131,0.679,Elementary,"0K,01,02,03,04,05,SE",-73.973996,40.795109,M,2,1950
03M076,3,3,P.S. 076 A. Philip Randolph,M076,0.245,0.1,0.978,K-8,"PK,0K,01,02,03,04,05,06,07,08,SE",-73.951451,40.806534,M,2,1965
03M145,3,3,"P.S. 145, The Bloomingdale School",M145,0.319,0.099,0.706,Elementary,"PK,0K,01,02,03,04,05,SE",-73.965611,40.799098,M,2,1961
03M149,3,3,P.S. 149 Sojourner Truth,M149,0.25,0.125,0.972,K-8,"PK,0K,01,02,03,04,05,06,07,08,SE",-73.948088,40.802649,M,1,1990
03M165,3,3,P.S. 165 Robert E. Simon,M165,0.192,0.086,0.623,K-8,"PK,0K,01,02,03,04,05,SE",-73.965949,40.802653,M,2,1898
03M241,3,3,STEM Institute of Manhattan,M113,0.351,0.155,0.959,Elementary,"0K,01,02,03,04,05,SE",-73.955583,40.801573,M,3,1999
03M242,3,3,P.S. 242 - The Young Diplomats Magnet Academy,M144,0.329,0.079,0.843,Elementary,"PK,0K,01,02,03,04,05,SE",-73.948385,40.806055,M,2,1999
03M243,3,3,M.S. 243 Center School,M009,0.19,0,0.13,Junior High-Intermediate-Middle,"05,06,07,08,SE",-73.974256,40.785234,M,2,1999
03M245,3,3,M.S. M245 The Computer School,M044,0.213,0.012,0.313,Junior High-Intermediate-Middle,"06,07,08,SE",-73.977602,40.780536,M,3,1999
03M247,3,3,M.S. M247 Dual Language Middle School,M044,0.281,0.234,0.861,Junior High-Intermediate-Middle,"05,06,07,08,SE",-73.977602,40.780536,M,3,1999
03M250,3,3,M.S. 250 West Side Collaborative Middle School,M075,0.349,0.053,0.737,Junior High-Intermediate-Middle,"06,07,08,SE",-73.973996,40.795109,M,2,1999
03M256,3,3,Lafayette Academy,M118,0.224,0.112,0.678,Junior High-Intermediate-Middle,"06,07,08,SE",-73.971011,40.791395,M,3,1999
03M258,3,3,Community Action School - MS 258,M118,0.254,0.086,0.754,Junior High-Intermediate-Middle,"06,07,08,SE",-73.971011,40.791395,M,3,1999
03M299,3,3,The Maxine Greene HS for Imaginative Inquiry,M490,0.246,0.14,0.867,High school,"09,10,11,12,SE",-73.985608,40.774891,M,6,2005
03M307,3,3,"Urban Assembly School for Media Studies, The",M490,0.164,0.024,0.861,High school,"09,10,11,12,SE",-73.985608,40.774891,M,6,2004
03M333,3,3,P.S. 333 Manhattan School for Children,M118,0.245,0.023,0.206,K-8,"0K,01,02,03,04,05,06,07,08,SE",-73.971011,40.791395,M,3,1999
03M334,3,3,The Anderson School,M044,0.096,0,0.121,K-8,"0K,01,02,03,04,05,06,07,08,SE",-73.977602,40.780536,M,3,2005
03M402,3,3,The Urban Assembly School for Green Careers,M470,0.233,0.118,0.826,High school,"09,10,11,12,SE",-73.974483,40.786134,M,5,2009
03M403,3,3,The Global Learning Collaborative,M470,0.224,0.107,0.835,High school,"09,10,11,12,SE",-73.974483,40.786134,M,5,2009
03M404,3,3,Innovation Diploma Plus,M470,0.149,0.097,0.869,High school,"10,11,12",-73.974483,40.786134,M,5,2009
03M415,3,3,Wadleigh Secondary School for the Performing & Visual Arts,M088,0.227,0.042,0.843,Secondary School,"06,07,08,09,10,11,12,SE",-73.954152,40.80261,M,3,1996
03M417,3,3,Frank McCourt High School,M470,0.216,0.017,0.448,High school,"09,10,11,12,SE",-73.974483,40.786134,M,5,2010
03M421,3,3,West Prep Academy,M145,0.361,0.066,0.82,Junior High-Intermediate-Middle,"06,07,08,SE",-73.965611,40.799098,M,2,2009
03M479,3,2,Beacon High School,M912,0.131,0.001,0.276,High school,"09,10,11,12,SE",-73.996262,40.760858,M,1,1996
03M492,3,3,"High School for Law, Advocacy and Community Justice",M490,0.156,0.052,0.911,High school,"08,09,10,11,12,SE",-73.985608,40.774891,M,6,1997
03M494,3,3,High School of Arts and Technology,M490,0.24,0.074,0.819,High school,"09,10,11,12,SE",-73.985608,40.774891,M,6,2001
03M541,3,3,Manhattan / Hunter Science High School,M490,0.143,0.004,0.611,High school,"09,10,11,12,SE",-73.985608,40.774891,M,6,2003
03M859,3,3,Special Music School,M490,0.118,0.007,0.173,K-12 all grades,"0K,01,02,03,04,05,06,07,08,09,10,11,12,SE",-73.982976,40.775256,M,6,2001
03M859,3,3,Special Music School, M932,0.118,0.007,0.173,K-12 all grades,"0K,01,02,03,04,05,06,07,08,09,10,11,12,SE",-73.982976,40.775256,M,1,2001
03M860,3,3,Frederick Douglass Academy II Secondary School,M088,0.249,0.097,0.85,Secondary School,"06,07,08,09,10,11,12,SE",-73.954152,40.80261,M,3,2001
03M862,3,3,Mott Hall II,M165,0.248,0.041,0.573,Junior High-Intermediate-Middle,"06,07,08,SE",-73.965949,40.802653,M,2,2001
04M012,4,4,Tag Young Scholars,M117,0.053,0.013,0.348,K-8,"0K,01,02,03,04,05,06,07,08",-73.942285,40.792556,M,2,1999
04M037,4,4,River East Elementary,M045,0.283,0.057,0.815,Elementary,"PK,0K,01,02,03,04,05,SE",-73.93374,40.799265,M,2,1999
04M038,4,4,P.S. 38 Roberto Clemente,M121,0.313,0.107,0.922,Elementary,"PK,0K,01,02,03,04,05,SE",-73.944762,40.788668,M,2,1999
04M083,4,4,P.S. 083 Luis Munoz Rivera,M083,0.221,0.067,0.868,Elementary,"PK,0K,01,02,03,04,05,SE",-73.941955,40.793363,M,2,1964
04M102,4,4,P.S. 102 Jacques Cartier,M102,0.321,0.115,0.844,Elementary,"PK,0K,01,02,03,04,05,SE",-73.938418,40.795,M,2,1914
04M146,4,4,P.S. 146 Ann M. Short,M146,0.357,0.149,0.964,Elementary,"PK,0K,01,02,03,04,05,SE",-73.938727,40.789535,M,1,1965
04M155,4,4,P.S. 155 William Paca,M155,0.283,0.32,0.988,Elementary,"PK,0K,01,02,03,04,05,SE",-73.935895,40.797507,M,2,1961
04M182,4,4,The Bilingual Bicultural School,M083,0.311,0.368,0.97,Elementary,"PK,0K,01,02,03,04,05,SE",-73.941955,40.793363,M,2,2000
04M224,4,4,M.S. 224 Manhattan East School for Arts & Academics,M099,0.226,0.024,0.654,Junior High-Intermediate-Middle,"06,07,08,SE",-73.942154,40.785107,M,3,2000
04M310,4,4,THE JUDITH S. KAYE HIGH SCHOOL,M646,0.422,0.054,0.803,Secondary School,"09,10,11,12,SE",-73.945647,40.784112,M,2,2017
04M310,4,4,THE JUDITH S. KAYE HIGH SCHOOL, Q142,0.422,0.054,0.803,Secondary School,"09,10,11,12,SE",-73.945647,40.784112,M,3,2017
04M372,4,4,Esperanza Preparatory Academy,M117,0.234,0.305,0.91,Secondary School,"06,07,08,09,10,11,12,SE",-73.942285,40.792556,M,2,2008
04M375,4,4,Mosaic Preparatory Academy,M101,0.311,0.079,0.917,Elementary,"PK,0K,01,02,03,04,05,SE",-73.944546,40.796098,M,2,2008
04M377,4,4,Renaissance School of the Arts,M155,0.262,0.054,0.931,Junior High-Intermediate-Middle,"06,07,08,SE",-73.935895,40.797507,M,2,2008
04M435,4,4,Manhattan Center for Science and Mathematics,M435,0.138,0.058,0.805,High school,"09,10,11,12,SE",-73.932868,40.794184,M,2,1942
04M497,4,4,Central Park East I,M013,0.241,0.057,0.431,Elementary,"PK,0K,01,02,03,04,05,SE",-73.948488,40.793649,M,3,1999
04M555,4,4,Central Park East High School,M013,0.156,0.018,0.789,High school,"09,10,11,12,SE",-73.948488,40.793649,M,3,1996
04M825,4,4,Isaac Newton Middle School for Math & Science,M435,0.238,0.085,0.893,Junior High-Intermediate-Middle,"06,07,08,SE",-73.932868,40.794184,M,2,1999
04M964,4,4,Central Park East II,M050,0.303,0.043,0.586,K-8,"PK,0K,01,02,03,04,05,06,07,08,SE",-73.940919,40.785559,M,3,1999
05M030,5,5,P.S. 030 Hernandez/Hughes,M030,0.25,0.068,0.953,Elementary,"PK,0K,01,02,03,04,05,SE",-73.935461,40.805653,M,3,1969
05M092,5,5,P.S. 092 Mary McLeod Bethune,M092,0.354,0.062,0.988,Elementary,"PK,0K,01,02,03,04,05,SE",-73.945838,40.814917,M,3,1966
05M123,5,5,P.S. 123 Mahalia Jackson,M123,0.254,0.141,0.957,K-8,"PK,0K,01,02,03,04,05,06,07,08,SE",-73.944551,40.820216,M,2,1959
05M125,5,5,P.S. 125 Ralph Bunche,M125,0.191,0.02,0.647,Elementary,"PK,0K,01,02,03,04,05,SE",-73.955722,40.810793,M,3,1925
05M148,5,5,Eagle Academy for Young Men of Harlem,M136,0.322,0.065,0.775,Secondary School,"06,07,08,09,10,11,12,SE",-73.947151,40.817228,M,2,2013
05M154,5,5,P.S. 154 Harriet Tubman,M154,0.28,0.128,0.94,Elementary,"PK,0K,01,02,03,04,05,SE",-73.948902,40.810499,M,2,1964
05M157,5,5,The Urban Assembly School for Global Commerce,M501,0.335,0.107,0.88,High school,"09,10,11,12,SE",-73.938714,40.807019,M,2,2013
05M175,5,5,P.S. 175 Henry H Garnet,M175,0.198,0.122,0.907,Elementary,"PK,0K,01,02,03,04,05,SE",-73.942706,40.814388,M,1,1958
05M194,5,5,P.S. 194 Countee Cullen,M194,0.281,0.184,0.973,Elementary,"PK,0K,01,02,03,04,05,SE",-73.941111,40.821208,M,2,1940
05M197,5,5,P.S. 197 John B. Russwurm,M197,0.298,0.076,0.917,Elementary,"PK,0K,01,02,03,04,05,SE",-73.938347,40.813532,M,1,1956
05M200,5,5,P.S. 200- The James McCune Smith School,M200,0.256,0.093,0.88,Elementary,"PK,0K,01,02,03,04,05,SE",-73.935746,40.823988,M,1,1969
05M285,5,5,Harlem Renaissance High School,M911,0.315,0.197,0.859,High school,"09,10,11,12,SE",-73.939974,40.807692,M,1,2004
05M286,5,5,Urban Assembly Academy for Future Leaders,M043,0.456,0.049,0.893,Junior High-Intermediate-Middle,"06,07,08,SE",-73.95552,40.815747,M,2,1999
05M304,5,5,Mott Hall High School,M136,0.285,0.18,0.912,High school,"09,10,11,12,SE",-73.947151,40.817228,M,2,2004
05M362,5,5,Columbia Secondary School,M125,0.175,0.004,0.464,Secondary School,"06,07,08,09,10,11,12,SE",-73.955722,40.810793,M,3,2007
05M369,5,5,Urban Assembly School for the Performing Arts,M043,0.234,0.063,0.818,High school,"09,10,11,12,SE",-73.95552,40.815747,M,2,2007
05M514,5,5,New Design Middle School,M195,0.486,0.029,0.942,Junior High-Intermediate-Middle,"06,07,08,SE",-73.956814,40.819793,M,2,2011
06M052,6,6,Harold O. Levy School,M052,0.272,0.414,0.955,Junior High-Intermediate-Middle,"06,07,08,SE",-73.925464,40.865556,M,3,1905
06M103,6,6,Dos Puentes Elementary School,M132,0.246,0.299,0.653,Elementary,"0K,01,02,03,04,05,SE",-73.933964,40.850561,M,2,2013
06M115,6,6,P.S. 115 Alexander Humboldt,M115,0.217,0.268,0.973,Elementary,"PK,0K,01,02,03,04,05,SE",-73.93514,40.846116,M,1,1914
06M128,6,6,P.S. 128 Audubon,M128,0.212,0.171,0.877,Elementary,"PK,0K,01,02,03,04,05,SE",-73.938701,40.841032,M,2,1961
06M132,6,6,P.S. 132 Juan Pablo Duarte,M132,0.263,0.439,0.883,Elementary,"0K,01,02,03,04,05,SE",-73.933964,40.850561,M,2,1905
06M143,6,6,J.H.S. 143 Eleanor Roosevelt,M143,0.284,0.559,0.896,Junior High-Intermediate-Middle,"06,07,08,SE",-73.930991,40.849311,M,2,1965
06M153,6,6,P.S. 153 Adam Clayton Powell,M153,0.171,0.253,0.918,Elementary,"PK,0K,01,02,03,04,05,SE",-73.947599,40.826514,M,2,1975
06M173,6,6,P.S. 173,M173,0.184,0.119,0.786,Elementary,"PK,0K,01,02,03,04,05,SE",-73.939785,40.845459,M,2,1926
06M189,6,6,P.S. 189,M189,0.215,0.231,0.9,Elementary,"PK,0K,01,02,03,04,05,SE",-73.928048,40.853045,M,1,1923
06M192,6,6,P.S. 192 Jacob H. Schiff,M192,0.229,0.264,0.971,Elementary,"PK,0K,01,02,03,04,05,SE",-73.952023,40.82051,M,2,1952
06M209,6,6,Hamilton Grange Middle School,M192,0.249,0.196,0.888,Junior High-Intermediate-Middle,"06,07,08,SE",-73.952023,40.82051,M,2,2014
06M211,6,6,Inwood Early College for Health and Information Technologies,M052,0.244,0.109,0.926,High school,"09,10,11,12,SE",-73.925464,40.865556,M,3,2014
06M293,6,6,City College Academy of the Arts,M218,0.16,0.056,0.802,Secondary School,"06,07,08,09,10,11,12,SE",-73.930082,40.860951,M,2,2005
