school_dist,managed_by_name,school_count,co_located,total_enrollment,Grade_PreK_5,Grade_6_8,Grade_9_12,pct_asian,pct_black,pct_hispanic,pct_multiple_race_categories_not_represented,pct_white,pct_swd,pct_ell,pct_poverty,co_pct,Level3_4_ELA_proficient,Level3_4_Math_proficient,Pct_4_year_august_graduate,Pct_6_year_graduates
17,DOE,79,45,16113,6007,3267,6839,0.036,0.705133333,0.179355556,0.024444444,0.055088889,0.302333333,0.110711111,0.830422222,0.772,0.222666667,0.194666667,0.297777778,0.341777778
18,Charter,53,10,6233,3563,1725,945,0.0099,0.8803,0.0603,0.0412,0.0085,0.1452,0.0334,0.7735,0.604,0.391,0.445,0,0
18,DOE,53,21,7008,2008,1676,3324,0.022666667,0.83152381,0.093904762,0.014380952,0.03752381,0.224714286,0.086904762,0.801619048,0.604,0.180952381,0.149047619,0.387619048,0.436666667
19,Charter,75,14,9487,6158,1935,1394,0.027785714,0.635357143,0.309857143,0.019071429,0.008,0.135642857,0.053071429,0.839214286,0.76,0.472857143,0.568571429,0.249285714,0.264285714
19,DOE,75,43,15530,5736,4764,5030,0.049325581,0.524883721,0.383790698,0.018488372,0.023325581,0.316790698,0.127767442,0.901186047,0.76,0.185116279,0.160465116,0.279534884,0.224418605
20,DOE,45,18,12616,7296,3769,1551,0.274722222,0.0725,0.350333333,0.014777778,0.287944444,0.418055556,0.2475,0.825666667,0.4,0.373888889,0.401111111,0.104444444,0.103888889
21,Charter,54,4,3618,1797,813,1008,0.115,0.3005,0.30175,0.013,0.2695,0.19975,0.0945,0.775,0.667,0.645,0.64,0.675,0.705
21,DOE,54,32,22255,6353,5272,10630,0.18990625,0.23075,0.25534375,0.01846875,0.30534375,0.5109375,0.232625,0.777375,0.667,0.2359375,0.1990625,0.2290625,0.2415625
22,Charter,51,4,1973,1286,134,553,0.04125,0.79425,0.097,0.0245,0.044,0.1365,0.0375,0.654,0.373,0.455,0.5,0.445,0.4825
22,DOE,51,15,7337,2159,2348,2830,0.121933333,0.446133333,0.2092,0.0248,0.198,0.422066667,0.174533333,0.791666667,0.373,0.24,0.202666667,0.136,0.166
23,Charter,53,10,8540,4209,2604,1727,0.009,0.8141,0.1503,0.0207,0.0058,0.1273,0.0328,0.8323,0.736,0.538,0.678,0.18,0
23,DOE,53,29,9186,4979,2854,1353,0.023344828,0.702034483,0.205137931,0.042068966,0.027586207,0.399827586,0.080241379,0.903103448,0.736,0.211724138,0.177586207,0.126206897,0.150689655
24,DOE,65,46,32978,15475,5379,12124,0.191608696,0.115565217,0.544869565,0.01973913,0.12826087,0.537978261,0.304065217,0.792043478,0.985,0.176086957,0.213478261,0.206304348,0.217826087
25,DOE,50,25,15423,4471,5575,5377,0.37528,0.0894,0.33164,0.03288,0.17096,0.4166,0.23616,0.70824,0.52,0.3224,0.38,0.2812,0.2896
26,DOE,41,41,25280,11781,3006,10493,0.295658537,0.233146341,0.276634146,0.041829268,0.152634146,0.738536585,0.216634146,0.709414634,1,0.207804878,0.245853659,0.087073171,0.064878049
27,Charter,85,3,1275,522,0,753,0.036,0.706333333,0.192,0.037333333,0.028333333,0.177666667,0.025,0.730666667,0.388,0.28,0.313333333,0.29,0
27,DOE,85,27,17448,3412,4662,9374,0.131148148,0.369444444,0.395111111,0.046333333,0.057851852,0.205407407,0.106444444,0.806888889,0.388,0.208888889,0.182222222,0.353333333,0.354074074
28,DOE,59,35,17529,4020,3738,9771,0.187571429,0.372028571,0.296142857,0.066885714,0.077714286,0.534942857,0.164028571,0.8082,0.627,0.177428571,0.162,0.239142857,0.247142857
29,Charter,54,1,826,718,108,0,0.018,0.886,0.057,0.036,0.002,0.099,0.005,0.489,0.481,0.85,0.94,0,0
29,DOE,54,25,11846,4814,3622,3410,0.13532,0.6702,0.13556,0.04096,0.01796,0.1738,0.08512,0.77432,0.481,0.2992,0.2268,0.2964,0.276
30,Charter,63,2,1338,904,434,0,0.117,0.133,0.634,0.042,0.075,0.185,0.166,0.803,0.365,0.39,0.58,0,0
30,DOE,63,20,12967,3694,2365,6908,0.203,0.11115,0.43775,0.0378,0.2104,0.1577,0.1643,0.61555,0.365,0.3185,0.311,0.2995,0.317
31,Charter,84,4,1103,312,342,449,0.01925,0.2955,0.4175,0.03175,0.236,0.416,0.01625,0.728,0.81,0.12,0.0525,0.325,0.4175
31,DOE,74,56,40134,12233,11992,15909,0.077178571,0.218178571,0.315,0.028714286,0.360946429,0.697535714,0.083232143,0.752,0.81,0.208571429,0.211607143,0.095714286,0.097321429
32,Charter,36,4,2987,1789,705,493,0.01375,0.1875,0.76025,0.017,0.02125,0.191,0.13225,0.85225,0.444,0.525,0.6575,0.2325,0.735
32,DOE,36,12,4202,445,2330,1427,0.014333333,0.195666667,0.766333333,0.006166667,0.017416667,0.22175,0.225166667,0.884916667,0.444,0.180833333,0.135833333,0.281666667,0.315833333
